,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227
M?u,V? trí ?o,V? trí c?t,V? trí ?i?m ?o,L?n l?p,901.398183,905.331226,909.259927,913.184288,917.104308,921.019987,924.931325,930.13969,934.0409,937.937768,941.830296,945.718482,949.602328,953.481833,957.356997,961.22782,965.094302,968.956444,972.814244,976.667703,981.798897,985.642228,989.481217,993.315866,997.146174,1000.972141,1004.793768,1008.611053,1012.423997,1016.232601,1020.036863,1023.836785,1028.896595,1032.686388,1036.47184,1040.252951,1044.029721,1047.80215,1051.570239,1055.333986,1059.093393,1062.848459,1066.599184,1070.345568,1075.333994,1079.070249,1082.802163,1086.529736,1090.252969,1093.97186,1097.686411,1101.396621,1105.10249,1108.804018,1112.501205,1116.194051,1121.111093,1124.793811,1128.472187,1132.146223,1135.815917,1139.481271,1143.142284,1146.798956,1150.451287,1154.099277,1157.742927,1161.382235,1166.227894,1169.857073,1173.481912,1177.10241,1180.718567,1184.330383,1187.937858,1191.540992,1195.139786,1198.734238,1202.324349,1205.91012,1209.49155,1214.260037,1217.831338,1221.398298,1224.960917,1228.519195,1232.073133,1235.622729,1239.167985,1242.708899,1246.245473,1249.777706,1253.305598,1258.002701,1261.520465,1265.033887,1268.542968,1272.047709,1275.548108,1279.044167,1282.535885,1286.023262,1289.506298,1292.984993,1296.459347,1301.085067,1304.549292,1308.009177,1311.46472,1314.915923,1318.362785,1321.805306,1325.243486,1328.677325,1332.106823,1335.53198,1338.952797,1343.507133,1346.91782,1350.324167,1353.726173,1357.123838,1360.517162,1363.906145,1367.290787,1370.671089,1374.047049,1377.418669,1380.785947,1384.148885,1388.62605,1391.978858,1395.327327,1398.671454,1402.01124,1405.346685,1408.67779,1412.004553,1415.326976,1418.645058,1421.958799,1425.268199,1429.67398,1432.973251,1436.268181,1439.55877,1442.845019,1446.126927,1449.404493,1452.677719,1455.946604,1459.211148,1462.471351,1465.727213,1470.06161,1473.307344,1476.548736,1479.785788,1483.018499,1486.246869,1489.470897,1492.690586,1495.905933,1499.116939,1502.323604,1505.525929,1509.788942,1512.981138,1516.168993,1519.352506,1522.531679,1525.706511,1528.877003,1532.043153,1535.204962,1538.362431,1541.515558,1544.664345,1548.855975,1551.994632,1555.128949,1558.258926,1561.384561,1564.505855,1567.622808,1570.735421,1573.843693,1576.947623,1580.047213,1583.142462,1586.23337,1590.347828,1593.428607,1596.505046,1599.577143,1602.6449,1605.708315,1608.76739,1611.822124,1614.872517,1617.918569,1620.96028,1623.99765,1628.040725,1631.067966,1634.090867,1637.109426,1640.123645,1643.133523,1646.13906,1649.140256,1652.137111,1655.129625,1658.117799,1661.101631,1665.073322,1668.047026,1671.016388,1673.98141,1676.942091,1679.898431,1682.85043,1685.798089,1688.741406,1691.680383,1694.615018,1697.545313,1701.44562
1,Ngoài,??u,1,1,0.865579,0.895756,0.854132,0.865284,0.87915,0.876599,0.872188,0.847718,0.857549,0.851106,0.852148,0.863423,0.848578,0.860355,0.856288,0.85454,0.847963,0.849094,0.844962,0.845875,0.842047,0.840844,0.83789,0.832902,0.828075,0.828452,0.823138,0.821684,0.81647,0.808125,0.807711,0.799533,0.80138,0.79351,0.792129,0.791077,0.786343,0.78208,0.774714,0.776705,0.767079,0.767885,0.761917,0.760798,0.759828,0.753963,0.752341,0.752315,0.746697,0.742689,0.739954,0.739713,0.740023,0.734311,0.731256,0.731609,0.729175,0.725697,0.723109,0.72685,0.72978,0.726882,0.729075,0.733155,0.736113,0.735332,0.732186,0.73406,0.733401,0.729396,0.724801,0.728126,0.722666,0.722272,0.723316,0.718315,0.717096,0.717753,0.716069,0.711349,0.71192,0.708728,0.709277,0.707064,0.705963,0.705431,0.700103,0.701558,0.698511,0.695443,0.696245,0.693403,0.692065,0.691114,0.693805,0.692695,0.690368,0.691757,0.690983,0.688706,0.69105,0.693644,0.691162,0.694661,0.698021,0.699112,0.702005,0.706214,0.708181,0.713138,0.716174,0.72083,0.72538,0.732415,0.737115,0.744261,0.748624,0.759596,0.763318,0.769716,0.778489,0.785822,0.788766,0.799695,0.802563,0.813241,0.827534,0.845593,0.867293,0.899266,0.94166,0.980194,1.026803,1.064868,1.102728,1.140916,1.173511,1.194339,1.211314,1.234626,1.250312,1.255472,1.264758,1.281426,1.275861,1.28418,1.292469,1.285046,1.293143,1.292141,1.292164,1.294449,1.28343,1.27885,1.266793,1.266507,1.258402,1.249066,1.234004,1.229904,1.223166,1.199548,1.194418,1.180259,1.175397,1.164657,1.149205,1.134361,1.12219,1.120007,1.114427,1.103065,1.0906,1.087141,1.079286,1.06383,1.058631,1.043078,1.032149,1.019181,1.019069,1.010292,0.999996,0.998754,0.987818,0.985886,0.979988,0.974632,0.972741,0.973147,0.968547,0.953884,0.956911,0.953438,0.949099,0.94455,0.941847,0.938043,0.932791,0.932234,0.926142,0.926741,0.919535,0.915842,0.916332,0.904632,0.908339,0.909345,0.914016,0.899456,0.901306,0.906473,0.897375,0.890562,0.892956,0.893869,0.875675,0.872631,0.852117,0.857959,0.821613,0.830714,0.850119,0.853859,0.833656,0.865977,0.813172,0.85904
1,Ngoài,??u,1,2,0.844552,0.888002,0.891185,0.878742,0.862299,0.872055,0.869766,0.862271,0.849057,0.859985,0.847042,0.857189,0.850401,0.853455,0.858294,0.855817,0.852291,0.848215,0.839343,0.845232,0.842562,0.83605,0.836851,0.835977,0.826834,0.825523,0.823559,0.818107,0.816629,0.810984,0.809603,0.803058,0.795125,0.793124,0.791615,0.78994,0.783793,0.783698,0.776076,0.776815,0.77131,0.764614,0.765259,0.757227,0.757907,0.752175,0.751521,0.750162,0.746685,0.744716,0.739499,0.737264,0.738257,0.736742,0.732234,0.728422,0.728963,0.727677,0.723339,0.723824,0.726505,0.731186,0.728103,0.73111,0.734558,0.737145,0.73602,0.731226,0.731988,0.731347,0.726345,0.72502,0.72024,0.722391,0.723656,0.721851,0.715379,0.715978,0.718511,0.712131,0.71004,0.708656,0.707165,0.706951,0.704001,0.704577,0.701693,0.699801,0.699773,0.695194,0.695825,0.694768,0.692116,0.692357,0.691663,0.691881,0.689657,0.689673,0.691595,0.69035,0.689736,0.692057,0.692895,0.692222,0.697309,0.699901,0.701115,0.704987,0.708031,0.711463,0.716851,0.721496,0.724738,0.730699,0.73568,0.742743,0.750608,0.758329,0.765071,0.768283,0.776807,0.784847,0.791838,0.797146,0.805303,0.812264,0.826782,0.846733,0.867069,0.896376,0.946275,0.980421,1.025633,1.067895,1.101176,1.13786,1.172991,1.198368,1.216965,1.230036,1.249239,1.258509,1.264212,1.275496,1.273726,1.282401,1.290288,1.288036,1.287002,1.292959,1.284969,1.289371,1.290294,1.282237,1.266378,1.262115,1.253498,1.252163,1.238551,1.223613,1.220205,1.209735,1.204064,1.179613,1.170247,1.159661,1.151593,1.136324,1.128556,1.11434,1.111589,1.104774,1.09201,1.082348,1.079439,1.067301,1.053264,1.039528,1.030437,1.022439,1.016894,1.013002,1.001862,0.999875,0.9906,0.983256,0.98607,0.971295,0.968811,0.971042,0.969249,0.959616,0.95284,0.953061,0.949908,0.946504,0.937782,0.93816,0.929383,0.928787,0.930147,0.92692,0.922906,0.913771,0.923068,0.908712,0.903541,0.90302,0.909254,0.910251,0.894326,0.901117,0.900707,0.893983,0.884837,0.887617,0.870182,0.870373,0.858312,0.850509,0.848616,0.8187,0.835655,0.855794,0.849524,0.900391,0.86026,0.795902
1,Ngoài,??u,1,3,0.854356,0.887101,0.881994,0.876884,0.865415,0.872291,0.872485,0.86135,0.847174,0.861656,0.848157,0.859588,0.849906,0.85453,0.857475,0.855805,0.851304,0.847317,0.840407,0.844706,0.843022,0.836656,0.836508,0.835944,0.826673,0.824275,0.823606,0.81784,0.816659,0.809694,0.809529,0.801861,0.796131,0.791384,0.791338,0.788578,0.783765,0.783761,0.775097,0.77804,0.768113,0.764475,0.763974,0.757374,0.758618,0.751572,0.752279,0.750876,0.746528,0.744336,0.740117,0.737178,0.737734,0.736086,0.731571,0.728661,0.728658,0.7275,0.722268,0.723562,0.726411,0.73093,0.727882,0.730799,0.735385,0.737038,0.734727,0.731155,0.7319,0.731058,0.725165,0.725217,0.719906,0.722079,0.723475,0.721795,0.715084,0.716012,0.718892,0.711223,0.70998,0.707929,0.707495,0.706505,0.703704,0.704477,0.700608,0.699713,0.699592,0.695009,0.695582,0.694144,0.691542,0.691353,0.691709,0.691836,0.689147,0.690028,0.69128,0.689827,0.689652,0.691812,0.692614,0.692552,0.697028,0.699282,0.700854,0.704949,0.707517,0.711822,0.716662,0.721242,0.724687,0.731287,0.735605,0.743035,0.750115,0.758688,0.764286,0.768808,0.777478,0.785336,0.791314,0.797373,0.804931,0.811708,0.827118,0.846106,0.867421,0.89669,0.945841,0.980206,1.026078,1.06899,1.100977,1.137557,1.173067,1.197786,1.214491,1.230144,1.248066,1.259233,1.264236,1.278617,1.272972,1.283545,1.289315,1.286149,1.287469,1.29269,1.285975,1.289599,1.290767,1.27975,1.264672,1.260734,1.253522,1.251089,1.236208,1.224111,1.220205,1.205918,1.203385,1.179383,1.16958,1.159318,1.14996,1.135104,1.125915,1.114059,1.112761,1.103362,1.089511,1.083555,1.0778,1.065734,1.052268,1.039036,1.029929,1.021733,1.016861,1.012251,0.999124,0.999959,0.988802,0.981934,0.983581,0.971,0.969135,0.969348,0.969115,0.957967,0.952768,0.951449,0.950691,0.944202,0.937535,0.93741,0.929422,0.928355,0.928959,0.92789,0.921121,0.912272,0.921562,0.906384,0.904655,0.905546,0.909104,0.910238,0.894482,0.901843,0.902153,0.890811,0.888356,0.888067,0.871142,0.867961,0.859107,0.851154,0.843079,0.81716,0.836003,0.860561,0.838131,0.891368,0.843515,0.801818
1,Ngoài,??u,1,4,0.850371,0.885348,0.887841,0.874894,0.865794,0.872558,0.87111,0.858644,0.850263,0.859466,0.846698,0.855663,0.85084,0.851954,0.855752,0.855275,0.850874,0.846825,0.839303,0.84567,0.841835,0.83699,0.836097,0.83525,0.826416,0.824338,0.823598,0.816924,0.815206,0.809791,0.810243,0.803037,0.794508,0.791648,0.790185,0.787737,0.78199,0.782344,0.774612,0.776097,0.769933,0.763652,0.765128,0.757176,0.757799,0.751703,0.751761,0.750143,0.74591,0.744312,0.739832,0.737114,0.737722,0.736097,0.731441,0.728126,0.728452,0.726518,0.722017,0.723551,0.725927,0.730969,0.728257,0.730567,0.734474,0.736926,0.735,0.730434,0.731231,0.730774,0.725829,0.724468,0.719635,0.721788,0.722796,0.721295,0.715399,0.715346,0.717869,0.711789,0.709645,0.708966,0.707077,0.706648,0.703594,0.703629,0.701004,0.699529,0.699478,0.69466,0.695159,0.694107,0.691473,0.691876,0.690923,0.691455,0.68946,0.689807,0.690778,0.689967,0.689313,0.691303,0.692747,0.691852,0.69666,0.699316,0.700415,0.704785,0.707324,0.711232,0.716316,0.721116,0.724731,0.730418,0.734969,0.742285,0.750236,0.757902,0.764689,0.76829,0.776698,0.784595,0.791367,0.79679,0.805366,0.811844,0.826799,0.846615,0.866986,0.896357,0.945483,0.980045,1.025732,1.067734,1.101255,1.136959,1.17353,1.198991,1.21514,1.230514,1.249535,1.259373,1.265387,1.276619,1.274481,1.282165,1.288444,1.287482,1.284803,1.290741,1.284718,1.289612,1.28954,1.281193,1.264843,1.260419,1.252078,1.251089,1.236081,1.22323,1.218833,1.208323,1.203582,1.17742,1.167302,1.158061,1.14987,1.134863,1.126077,1.113237,1.111992,1.103139,1.090463,1.083636,1.077414,1.066459,1.051472,1.038484,1.029389,1.022422,1.015685,1.012066,0.999697,0.998611,0.988293,0.982478,0.984357,0.97208,0.968495,0.969949,0.968076,0.957878,0.951512,0.951568,0.950095,0.944371,0.937373,0.936953,0.929638,0.927704,0.928876,0.927067,0.920418,0.913184,0.921596,0.907859,0.903588,0.901697,0.908617,0.909539,0.894132,0.899996,0.898767,0.892638,0.886446,0.887393,0.871142,0.866532,0.858966,0.849088,0.843768,0.815869,0.83496,0.856226,0.844622,0.88387,0.850442,0.806874
1,Ngoài,??u,1,5,0.852127,0.889378,0.875282,0.87108,0.866807,0.870816,0.867892,0.855954,0.846974,0.856882,0.84378,0.858147,0.848789,0.854153,0.856109,0.853591,0.849766,0.847285,0.840125,0.84356,0.842663,0.836964,0.835396,0.834624,0.825717,0.824764,0.823286,0.818283,0.816106,0.808972,0.808637,0.801008,0.796045,0.791199,0.790605,0.78867,0.782653,0.782003,0.773779,0.775756,0.767346,0.764713,0.762725,0.757669,0.757767,0.75076,0.751959,0.750058,0.74606,0.742683,0.739429,0.737299,0.738234,0.734823,0.730336,0.728879,0.727465,0.725824,0.721625,0.723452,0.726136,0.72894,0.727315,0.73039,0.734474,0.735449,0.733,0.730775,0.730415,0.729358,0.724106,0.724787,0.719645,0.720662,0.722457,0.719656,0.714573,0.71487,0.717609,0.710233,0.709479,0.707217,0.706862,0.705597,0.702883,0.703587,0.69944,0.699166,0.698307,0.694023,0.695253,0.693429,0.690886,0.690553,0.691435,0.691441,0.688587,0.689827,0.690218,0.688292,0.68931,0.691017,0.691347,0.691986,0.696495,0.698779,0.700257,0.704589,0.707041,0.711103,0.715693,0.720938,0.724007,0.730553,0.735299,0.742352,0.749315,0.757764,0.76344,0.768407,0.777024,0.78407,0.790117,0.797469,0.803953,0.811277,0.826496,0.845198,0.866442,0.896774,0.944057,0.980027,1.025255,1.06736,1.100723,1.138494,1.172689,1.196284,1.214742,1.230362,1.249581,1.257773,1.263573,1.278334,1.271855,1.283433,1.28818,1.285597,1.286738,1.290893,1.286643,1.28824,1.287477,1.279,1.264028,1.261436,1.25406,1.249339,1.233671,1.225685,1.218418,1.203527,1.200386,1.176581,1.169427,1.158333,1.149503,1.133667,1.122957,1.113583,1.111589,1.102473,1.088434,1.08369,1.077531,1.064455,1.053255,1.039146,1.029862,1.020192,1.015342,1.012032,0.997749,0.998426,0.988068,0.982821,0.982006,0.971464,0.968828,0.969845,0.967128,0.955084,0.95257,0.949379,0.949555,0.943356,0.938181,0.93602,0.929178,0.928636,0.928577,0.925458,0.920855,0.91301,0.921676,0.90514,0.904585,0.904814,0.909554,0.906494,0.89517,0.902515,0.900421,0.889168,0.889197,0.885754,0.872678,0.867567,0.85394,0.85453,0.834905,0.817684,0.838755,0.859202,0.837645,0.882922,0.83431,0.811418
1,Ngoài,??u,2,1,0.808873,0.846902,0.859941,0.851505,0.839897,0.840933,0.84161,0.838672,0.830973,0.839018,0.834296,0.830576,0.832192,0.829229,0.830902,0.832313,0.82883,0.826147,0.816672,0.819221,0.81482,0.810688,0.809258,0.805573,0.800604,0.795301,0.794026,0.787613,0.784596,0.781547,0.778228,0.775049,0.763675,0.763099,0.75605,0.753608,0.748653,0.747317,0.74205,0.738052,0.735763,0.727978,0.728963,0.720885,0.71859,0.714894,0.711196,0.709677,0.706516,0.705563,0.702806,0.699248,0.698685,0.69831,0.695221,0.691943,0.689625,0.689962,0.68784,0.687135,0.68814,0.692065,0.692176,0.69336,0.694364,0.697355,0.696171,0.692525,0.690572,0.691038,0.687722,0.683849,0.680978,0.679512,0.681193,0.680989,0.675903,0.67476,0.676598,0.674222,0.670176,0.669808,0.666635,0.665835,0.662966,0.66223,0.660831,0.657692,0.657908,0.654226,0.652749,0.652136,0.649897,0.649698,0.648139,0.647315,0.646699,0.644997,0.646308,0.647103,0.644702,0.646489,0.647551,0.647611,0.650586,0.653488,0.655061,0.657188,0.660828,0.663212,0.668011,0.672578,0.676594,0.680982,0.68547,0.691252,0.698532,0.704519,0.71232,0.715331,0.721808,0.729613,0.735809,0.74023,0.748094,0.756155,0.767638,0.786176,0.806329,0.831845,0.875148,0.910128,0.946477,0.985465,1.018626,1.047814,1.077819,1.103556,1.122609,1.132986,1.148965,1.16077,1.17121,1.176147,1.18326,1.181786,1.187736,1.190428,1.188061,1.188314,1.184685,1.188029,1.1843,1.180061,1.166662,1.159178,1.147836,1.145474,1.135282,1.118417,1.112497,1.105299,1.095635,1.079882,1.067799,1.056317,1.046612,1.0355,1.027652,1.018291,1.012323,1.005701,0.996455,0.986943,0.980879,0.974099,0.962073,0.948843,0.935946,0.932228,0.92529,0.920956,0.916661,0.91079,0.905026,0.898377,0.898537,0.891189,0.88464,0.885246,0.884671,0.881965,0.873754,0.873836,0.87031,0.868614,0.861378,0.859195,0.856791,0.851351,0.851899,0.851645,0.847715,0.841013,0.842219,0.839133,0.829618,0.826767,0.832563,0.831996,0.823171,0.821302,0.820296,0.820977,0.805934,0.800775,0.787566,0.776384,0.772886,0.750905,0.754794,0.735089,0.737381,0.741615,0.751666,0.770268,0.76548,0.73853
1,Ngoài,??u,2,2,0.83733,0.832044,0.835816,0.839366,0.857775,0.842642,0.828651,0.82789,0.838508,0.82731,0.836752,0.837085,0.831567,0.835018,0.826546,0.827675,0.825764,0.827983,0.820216,0.821519,0.810523,0.814867,0.809878,0.80041,0.800756,0.797164,0.791209,0.790652,0.783029,0.778973,0.772476,0.771886,0.767047,0.762985,0.758519,0.75175,0.749092,0.743955,0.740456,0.733988,0.730888,0.730264,0.725714,0.722565,0.719949,0.714569,0.71294,0.707399,0.705301,0.703424,0.702892,0.700604,0.698328,0.693773,0.693652,0.693612,0.688793,0.686792,0.686738,0.688706,0.68734,0.687809,0.691775,0.694984,0.695169,0.692674,0.693369,0.694094,0.692387,0.687103,0.686833,0.685545,0.682422,0.68136,0.678237,0.677491,0.676214,0.676769,0.673592,0.672233,0.67259,0.670313,0.667646,0.663587,0.664554,0.661547,0.658398,0.65754,0.655721,0.654156,0.651933,0.649786,0.649963,0.649098,0.649841,0.647,0.647498,0.645877,0.644447,0.6456,0.645447,0.646515,0.64584,0.648274,0.650861,0.651912,0.655156,0.657645,0.660929,0.663559,0.666058,0.670976,0.676009,0.681793,0.686935,0.691193,0.695456,0.703278,0.710315,0.716716,0.72397,0.728626,0.733678,0.740304,0.745537,0.755698,0.767229,0.783857,0.80584,0.831528,0.870745,0.908741,0.945052,0.981689,1.018764,1.051169,1.077394,1.10021,1.119683,1.138182,1.149952,1.155488,1.173387,1.179135,1.182086,1.186607,1.184631,1.187758,1.190839,1.187883,1.191388,1.188271,1.177678,1.174876,1.16739,1.161955,1.15077,1.140278,1.131266,1.12323,1.106796,1.099175,1.088295,1.078477,1.073591,1.058579,1.042674,1.031294,1.024165,1.020704,1.013285,1.002183,0.994557,0.989819,0.975456,0.970998,0.963686,0.951645,0.936389,0.927527,0.926887,0.914501,0.914396,0.905999,0.902856,0.901155,0.893082,0.89128,0.890135,0.888497,0.878636,0.878817,0.87621,0.873836,0.867088,0.868172,0.863022,0.858286,0.85914,0.851922,0.846764,0.846877,0.844484,0.842995,0.835041,0.832902,0.836729,0.834283,0.831381,0.822697,0.827474,0.825478,0.812958,0.817636,0.814895,0.800252,0.791995,0.776099,0.759131,0.743978,0.735316,0.740706,0.742793,0.735323,0.741184,0.739032,0.741771,0.775282
1,Ngoài,??u,2,3,0.819225,0.853593,0.832769,0.843915,0.844448,0.847445,0.840078,0.830111,0.830339,0.832115,0.826013,0.83682,0.826699,0.832453,0.832082,0.830147,0.825679,0.824461,0.816701,0.819358,0.815131,0.812523,0.808462,0.805269,0.798805,0.796935,0.792434,0.788397,0.785012,0.77767,0.777254,0.769686,0.766059,0.760254,0.757523,0.753751,0.749131,0.746315,0.738848,0.73794,0.72945,0.728009,0.723627,0.720797,0.719158,0.712595,0.712393,0.710545,0.706242,0.704116,0.701074,0.699216,0.6992,0.69569,0.693441,0.691237,0.689645,0.688495,0.684937,0.687366,0.689093,0.689538,0.689902,0.692892,0.695261,0.695762,0.693056,0.692742,0.691361,0.688457,0.684111,0.685176,0.679658,0.679673,0.680917,0.678012,0.674328,0.675207,0.675525,0.670812,0.67091,0.668422,0.667156,0.664654,0.663287,0.662552,0.658117,0.657507,0.656555,0.652676,0.652646,0.65056,0.648853,0.647766,0.648778,0.6474,0.645448,0.645441,0.645498,0.644036,0.64497,0.646022,0.645357,0.646897,0.650395,0.651934,0.654034,0.657458,0.659384,0.663346,0.666751,0.671326,0.675051,0.681109,0.685072,0.69099,0.696837,0.705461,0.710065,0.715303,0.722985,0.729691,0.734028,0.741483,0.745783,0.75466,0.76779,0.785094,0.80526,0.832238,0.873963,0.907549,0.946848,0.984029,1.016274,1.050133,1.079377,1.102258,1.119389,1.136662,1.151524,1.159802,1.166954,1.180975,1.178015,1.18612,1.189789,1.187077,1.18978,1.190308,1.189963,1.187305,1.183359,1.176867,1.164437,1.161069,1.150506,1.143776,1.131221,1.120728,1.113641,1.098388,1.091869,1.076098,1.068919,1.058371,1.045462,1.032552,1.024437,1.017108,1.012785,1.003655,0.993023,0.98674,0.979709,0.96919,0.962298,0.949671,0.938629,0.928982,0.926081,0.920861,0.90984,0.90885,0.900976,0.897778,0.895185,0.88881,0.886353,0.886461,0.88478,0.874882,0.874354,0.871875,0.869883,0.865879,0.862144,0.858984,0.856072,0.852318,0.849564,0.8494,0.844798,0.83892,0.842324,0.830557,0.831331,0.831743,0.832856,0.827654,0.821019,0.823929,0.818849,0.812771,0.810658,0.803488,0.787444,0.780688,0.763092,0.761235,0.740024,0.730916,0.744623,0.748251,0.741914,0.769538,0.743166,0.742166
1,Ngoài,??u,2,4,0.821161,0.823411,0.843546,0.84717,0.846198,0.837454,0.822447,0.83567,0.835385,0.834783,0.833692,0.834001,0.833538,0.830921,0.822138,0.825655,0.825529,0.826799,0.820571,0.815449,0.807863,0.813305,0.805222,0.802674,0.800384,0.795419,0.78851,0.786517,0.781054,0.777719,0.771528,0.773413,0.765804,0.762139,0.757214,0.747936,0.7458,0.743248,0.739447,0.733976,0.730961,0.730697,0.725474,0.722441,0.71589,0.714256,0.711375,0.705132,0.702766,0.702103,0.702715,0.699497,0.696227,0.693918,0.694647,0.691068,0.687366,0.68648,0.686818,0.687245,0.684339,0.688141,0.691567,0.694382,0.692201,0.693581,0.693339,0.692913,0.688674,0.686211,0.686147,0.684347,0.68179,0.678307,0.676954,0.677236,0.676326,0.673558,0.672753,0.672143,0.67184,0.669373,0.66635,0.662389,0.662442,0.658918,0.658162,0.655288,0.654751,0.652975,0.650195,0.649475,0.649314,0.648849,0.648,0.645273,0.646589,0.644101,0.643129,0.644322,0.645213,0.643765,0.645498,0.64749,0.648442,0.651475,0.654184,0.65635,0.660277,0.662298,0.665041,0.67084,0.67551,0.680579,0.685522,0.689585,0.695268,0.702941,0.710133,0.717031,0.722844,0.726775,0.733919,0.738325,0.745298,0.756014,0.76564,0.783782,0.805979,0.829197,0.8724,0.909196,0.943653,0.98481,1.018481,1.049779,1.075526,1.102589,1.121274,1.138516,1.148051,1.159216,1.172993,1.17895,1.181524,1.185583,1.181547,1.189663,1.189397,1.185501,1.190852,1.18388,1.181703,1.176778,1.168656,1.159811,1.147284,1.140296,1.132121,1.119597,1.105946,1.101666,1.088858,1.080844,1.07089,1.0565,1.041194,1.032216,1.026102,1.019079,1.010456,1.001486,0.994302,0.987492,0.974732,0.971474,0.962741,0.950121,0.93355,0.928596,0.921413,0.916694,0.912863,0.905347,0.902856,0.899992,0.892992,0.89275,0.886714,0.885016,0.878217,0.877321,0.876609,0.86984,0.866073,0.868148,0.861649,0.855536,0.85762,0.848871,0.845886,0.844448,0.844699,0.842893,0.835601,0.834128,0.837583,0.833896,0.824458,0.826647,0.82783,0.819881,0.812235,0.817723,0.81221,0.792808,0.787246,0.772006,0.764125,0.744062,0.738277,0.748211,0.74111,0.73211,0.747305,0.734748,0.771758,0.767386
